id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_guru,satuan,tahun_ajaran
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6078,ORANG,2019/2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7102,ORANG,2019/2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,7412,ORANG,2019/2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4417,ORANG,2019/2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8901,ORANG,2019/2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,13103,ORANG,2019/2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6662,ORANG,2019/2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2253,ORANG,2019/2020
127,32,JAWA BARAT,3271,KOTA BOGOR,4505,ORANG,2019/2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,1551,ORANG,2019/2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,9586,ORANG,2019/2020
130,32,JAWA BARAT,3274,KOTA CIREBON,1903,ORANG,2019/2020
131,32,JAWA BARAT,3275,KOTA BEKASI,10823,ORANG,2019/2020
132,32,JAWA BARAT,3276,KOTA DEPOK,6650,ORANG,2019/2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,1983,ORANG,2019/2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2972,ORANG,2019/2020
135,32,JAWA BARAT,3279,KOTA BANJAR,956,ORANG,2019/2020
